,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,78.53,77,0,14.97,US,1673921929
1,Katsuura,35.1333,140.3,47.64,60,95,9.22,JP,1673922129
2,Hong Kong,22.2855,114.1577,57.33,78,100,11.01,HK,1673922105
3,Stepnyak,52.8339,70.7803,10.65,80,100,7.63,KZ,1673922130
4,Grenfell,-33.9,148.1667,91.29,20,0,4.03,AU,1673922130
5,Barrow,71.2906,-156.7887,-20.18,76,100,16.11,US,1673922131
6,Mataura,-46.1927,168.8643,68.59,51,87,6.44,NZ,1673922131
7,Dhanera,24.5167,72.0167,47.8,23,0,4.68,IN,1673922132
8,Kapaa,22.0752,-159.319,81.12,71,0,6.91,US,1673922132
9,Port Elizabeth,-33.918,25.5701,71.31,99,100,8.05,ZA,1673922133
10,Busselton,-33.65,115.3333,66.81,37,1,9.57,AU,1673921835
11,Punta Arenas,-53.15,-70.9167,48.31,49,0,18.41,CL,1673921962
12,Hermanus,-34.4187,19.2345,73.8,84,97,13.94,ZA,1673922134
13,Goundi,9.3627,17.366,70.95,26,94,4.21,TD,1673922134
14,Ushuaia,-54.8,-68.3,46.06,57,40,5.75,AR,1673921964
15,Yerbogachën,61.2767,108.0108,-61.08,100,67,3.47,RU,1673922135
16,Rikitea,-23.1203,-134.9692,77.79,68,2,5.79,PF,1673922043
17,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,100,6.91,CA,1673922136
18,Broome,42.2506,-75.833,27.66,81,0,5.75,US,1673922136
19,Peniche,39.3558,-9.3811,58.28,93,100,29.48,PT,1673922137
20,Teeli,51.0333,90.2333,-9.04,95,91,1.74,RU,1673922085
21,Takapau,-40.0333,176.35,76.73,53,58,7.05,NZ,1673922138
22,Yaan,7.3833,8.5667,75.02,21,36,4.54,NG,1673922138
23,Itoman,26.1247,127.6694,64.42,63,75,13.8,JP,1673922139
24,Kaitangata,-46.2817,169.8464,67.05,60,81,11.79,NZ,1673922139
25,Nuevo Progreso,23.1667,-97.95,64.89,71,65,1.99,MX,1673922140
26,Avarua,-21.2078,-159.775,80.65,69,20,6.91,CK,1673922141
27,Bethel,41.3712,-73.414,36.48,58,0,4.61,US,1673922142
28,Yar-Sale,66.8333,70.8333,6.28,96,100,13.73,RU,1673922142
29,New Norfolk,-42.7826,147.0587,82.71,29,38,2.04,AU,1673921854
30,Carnarvon,-24.8667,113.6333,78.55,47,0,21.83,AU,1673922143
31,Ponta do Sol,32.6667,-17.1,59.63,59,32,4.45,PT,1673922144
32,Atuona,-9.8,-139.0333,78.19,76,15,16.08,PF,1673921920
33,Saskylakh,71.9167,114.0833,-24.59,98,49,7.63,RU,1673922145
34,Ahipara,-35.1667,173.1667,71.91,57,27,8.66,NZ,1673922123
35,Clarence Town,-32.5833,151.7833,81.61,51,88,9.22,AU,1673922147
36,Acaraú,-2.8856,-40.12,76.28,86,100,3.65,BR,1673922148
37,Santa María del Oro,25.9333,-105.3667,54.97,31,3,10.09,MX,1673922148
38,Bluff,-46.6,168.3333,60.15,76,78,10.4,NZ,1673922149
39,Hervey Bay,-25.2986,152.8535,72.01,97,100,8.01,AU,1673922150
40,Taltal,-25.4,-70.4833,66.47,80,5,3.98,CL,1673922021
41,Eunice,30.4944,-92.4176,69.01,93,100,11.65,US,1673922150
42,George Town,5.4112,100.3354,84.13,73,20,8.05,MY,1673922088
43,Xichang,27.8964,102.2634,36.52,56,14,3.85,CN,1673922151
44,Bereket,39.2446,55.5154,24.93,67,84,11.79,TM,1673922151
45,Hrebinka,50.1171,32.4361,35.74,89,100,18.92,UA,1673922152
46,Kavieng,-2.5744,150.7967,83.41,69,100,8.14,PG,1673922152
47,Longyearbyen,78.2186,15.6401,15.64,67,0,24.16,SJ,1673922047
48,Port Alfred,-33.5906,26.891,73.18,98,100,1.01,ZA,1673922084
49,Cape Town,-33.9258,18.4232,72.12,75,0,10.36,ZA,1673922153
50,Waitati,-45.75,170.5667,66.79,61,83,6.82,NZ,1673922153
51,Bathsheba,13.2167,-59.5167,79.41,73,75,13.8,BB,1673922153
52,St Albans,51.75,-0.3333,27.97,90,67,6.91,GB,1673922154
53,Chokurdakh,70.6333,147.9167,-24.23,96,89,11.45,RU,1673922154
54,Nanortalik,60.1432,-45.2371,10.29,60,5,15.5,GL,1673922155
55,Bambanglipuro,-7.95,110.2833,81.27,77,98,4.5,ID,1673922155
56,Diffa,13.3154,12.6113,63.36,31,97,9.6,NE,1673922155
57,Tanabe,33.7333,135.3667,49.21,43,20,5.75,JP,1673922156
58,Jamestown,42.097,-79.2353,35.24,64,0,6.91,US,1673922085
59,Mar del Plata,-38.0023,-57.5575,69.82,93,75,11.99,AR,1673922157
60,Vardø,70.3705,31.1107,35.58,87,100,18.41,NO,1673922157
61,Saint Paul Harbor,57.79,-152.4072,35.11,93,100,12.66,US,1673922157
62,Cisternino,40.7445,17.4243,54.05,82,99,14.0,IT,1673922158
63,Okhotsk,59.3833,143.3,-16.49,86,100,12.91,RU,1673922158
64,São João da Barra,-21.6403,-41.0511,75.36,89,0,15.66,BR,1673922159
65,Labranzagrande,5.5622,-72.575,67.5,78,97,2.68,CO,1673922159
66,Sakakah,29.9697,40.2064,51.37,91,45,8.59,SA,1673921939
67,São José da Coroa Grande,-8.8978,-35.1478,77.22,80,100,6.29,BR,1673922159
68,Chui,-33.6971,-53.4616,67.55,80,0,8.43,UY,1673922130
69,Kon Tum,14.35,108.0,72.72,63,93,5.7,VN,1673922160
70,Teknāf,20.8624,92.3058,65.3,55,0,6.02,BD,1673922160
71,Saint George,37.1041,-113.5841,49.95,69,20,18.41,US,1673922056
72,Uchaly,54.2996,59.4521,-2.31,75,5,4.92,RU,1673922080
73,Akonolinga,3.7667,12.25,63.72,59,78,1.16,CM,1673922161
74,Ilulissat,69.2167,-51.1,-5.78,59,75,23.02,GL,1673922161
75,Praia da Vitória,38.7333,-27.0667,57.76,82,75,12.73,PT,1673922162
76,Paita,-5.0892,-81.1144,70.36,80,79,9.95,PE,1673922162
77,Kahului,20.8947,-156.47,80.62,70,75,6.91,US,1673922163
78,Port Lincoln,-34.7333,135.8667,70.07,87,100,6.4,AU,1673922163
79,San Jose,37.3394,-121.895,51.62,80,75,6.91,US,1673922096
80,Agadir,30.4202,-9.5982,48.65,77,0,4.38,MA,1673922163
81,Borogontsy,62.6683,131.1683,-56.42,100,94,2.46,RU,1673922164
82,Batouri,4.4333,14.3667,68.16,35,100,1.9,CM,1673922164
83,Kirakira,-10.4544,161.9205,84.56,73,81,8.61,SB,1673922165
84,Bredasdorp,-34.5322,20.0403,69.8,92,100,16.02,ZA,1673922165
85,Mogadishu,2.0371,45.3438,75.16,80,5,15.32,SO,1673922166
86,Narsaq,60.9167,-46.05,5.22,65,24,12.17,GL,1673922028
87,San Policarpo,12.1791,125.5072,80.8,84,96,1.74,PH,1673922166
88,Khatanga,71.9667,102.5,-40.16,98,25,6.51,RU,1673922167
89,Coquimbo,-29.9533,-71.3436,62.33,77,0,6.91,CL,1673922167
90,Ribeira Grande,38.5167,-28.7,57.65,73,94,11.56,PT,1673922167
91,Puerto Ayora,-0.7393,-90.3518,75.54,95,67,5.86,EC,1673922168
92,Bengkulu,-3.8004,102.2655,80.71,73,76,3.04,ID,1673922168
93,Burns Lake,54.2331,-125.7533,27.82,98,100,3.49,CA,1673922168
94,Korla,41.7597,86.1469,3.36,94,77,1.72,CN,1673922169
95,Lázaro Cárdenas,17.9583,-102.2,75.49,75,9,4.21,MX,1673922169
96,Nieuw Amsterdam,5.8833,-55.0833,77.02,89,62,9.44,SR,1673922170
97,Vestmanna,62.1564,-7.1664,22.12,93,75,4.61,FO,1673922170
98,Hofn,64.2539,-15.2082,32.29,59,100,20.27,IS,1673922170
99,East London,-33.0153,27.9116,73.67,93,100,5.5,ZA,1673922171
100,Srednekolymsk,67.45,153.6833,-46.39,99,69,5.35,RU,1673922171
101,Hobyo,5.3505,48.5268,75.54,75,1,17.31,SO,1673922171
102,Jacareacanga,-6.2222,-57.7528,72.52,98,95,0.56,BR,1673922172
103,Sudak,44.85,34.9667,44.71,83,100,4.07,UA,1673922172
104,Huarmey,-10.0681,-78.1522,70.3,75,100,5.68,PE,1673922173
105,Beringovskiy,63.05,179.3167,-4.45,89,100,20.24,RU,1673922165
106,Ebensee,47.8072,13.779,38.68,88,100,2.57,AT,1673922173
107,Laguna,38.421,-121.4238,53.58,78,100,8.05,US,1673921906
108,Teya,60.3778,92.6267,-8.5,99,100,3.62,RU,1673922174
109,College,64.8569,-147.8028,4.95,85,75,0.0,US,1673922174
110,Samarai,-10.6167,150.6667,83.21,70,100,4.12,PG,1673922095
111,Bousso,10.4795,16.7117,69.01,25,65,7.36,TD,1673922175
112,Vestmannaeyjar,63.4427,-20.2734,28.6,69,14,19.15,IS,1673922175
113,Klaksvík,62.2266,-6.589,23.92,60,100,20.11,FO,1673922176
114,Kailua,21.4022,-157.7394,82.38,75,79,1.99,US,1673922176
115,Dingle,10.9995,122.6711,81.79,82,50,7.81,PH,1673922177
116,Lorengau,-2.0226,147.2712,83.19,72,100,5.1,PG,1673922108
117,Bambous Virieux,-20.3428,57.7575,79.21,73,40,12.66,MU,1673922177
118,Ibrā’,22.6906,58.5334,60.66,56,77,1.63,OM,1673922177
119,Mehamn,71.0357,27.8492,33.75,80,100,4.61,NO,1673922178
120,Pangkalanbuun,-2.6833,111.6167,86.41,62,96,3.49,ID,1673922178
121,Berlevåg,70.8578,29.0864,33.8,80,75,10.36,NO,1673922179
122,Kumul,42.8,93.45,12.47,45,0,5.3,CN,1673922179
123,Bara,10.3744,10.7288,64.29,29,100,7.56,NG,1673922180
124,Ouégoa,-20.35,164.4333,82.53,66,100,11.52,NC,1673922180
125,Cidreira,-30.1811,-50.2056,74.23,82,69,11.12,BR,1673922180
126,Kānker,20.2719,81.4931,61.14,65,0,3.24,IN,1673922181
127,Faanui,-16.4833,-151.75,81.84,58,91,15.39,PF,1673922181
128,Soyaux,45.65,0.2,40.98,90,100,10.36,FR,1673922182
129,Albany,42.6001,-73.9662,29.26,68,10,1.01,US,1673921887
130,Syriam,16.7722,96.2378,73.51,88,46,3.44,MM,1673922184
131,Leningradskiy,69.3833,178.4167,-31.04,96,10,4.29,RU,1673922185
132,Alice Springs,-23.7,133.8833,92.75,40,2,10.36,AU,1673922186
133,Raudeberg,61.9875,5.1352,36.27,64,100,8.37,NO,1673922186
134,Brae,60.3964,-1.353,39.36,63,95,20.87,GB,1673922036
135,Cherskiy,68.75,161.3,-35.77,95,100,3.22,RU,1673922103
136,Esperance,-33.8667,121.9,62.28,57,94,14.2,AU,1673922187
137,Zacualpan,21.25,-105.1667,69.26,63,100,3.44,MX,1673922188
138,Vila Franca do Campo,37.7167,-25.4333,55.81,81,99,6.58,PT,1673922188
139,Lüderitz,-26.6481,15.1594,66.65,85,100,1.48,NA,1673922122
140,Hasaki,35.7333,140.8333,43.21,49,98,5.7,JP,1673922189
141,Hirara,24.8,125.2833,67.86,72,75,11.5,JP,1673921914
142,Gardez,33.5974,69.2259,9.77,41,0,3.33,AF,1673922190
143,Chutove,49.7104,35.1603,32.88,81,100,14.18,UA,1673922119
144,Grand Gaube,-20.0064,57.6608,79.38,69,9,10.0,MU,1673922191
145,Souillac,-20.5167,57.5167,79.18,73,40,12.66,MU,1673922191
